Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | libtsan2                                   | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | libtss2-esys0                              | package | 4.1.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libtss2-mu0                                | package | 4.1.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libtss2-rc0                                | package | 4.1.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libtss2-sys1                               | package | 4.1.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libturbojpeg0                              | package | 8.3.2-81.1                             | x86_64 | Main Repository (OSS)
i  | libturbojpeg0-x86-64-v3                    | package | 8.3.2-81.1                             | x86_64 | Main Repository (OSS)
i  | libtwolame0                                | package | 0.4.0-1.19                             | x86_64 | Main Repository (OSS)
i  | libtwolame0-32bit                          | package | 0.4.0-1.19                             | x86_64 | Main Repository (OSS)
i  | libubsan1                                  | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | libuchardet0                               | package | 0.0.8-1.6                              | x86_64 | Main Repository (OSS)
i  | libudev1                                   | package | 256.9-1.1                              | x86_64 | Main Repository (OSS)
i  | libudev1-32bit                             | package | 256.9-1.1                              | x86_64 | Main Repository (OSS)
i  | libudisks2-0                               | package | 2.10.1-1.2                             | x86_64 | Main Repository (OSS)
i  | libudisks2-0_btrfs                         | package | 2.10.1-1.2                             | x86_64 | Main Repository (OSS)
i  | libunbound8                                | package | 1.22.0-2.1                             | x86_64 | Main Repository (OSS)
i  | libunibilium4                              | package | 2.1.1-1.11                             | x86_64 | Main Repository (OSS)
i  | libunibreak5                               | package | 5.1-2.1                                | x86_64 | Main Repository (OSS)
i  | libunistring5                              | package | 1.3-1.1                                | x86_64 | Main Repository (OSS)
i  | libunistring5-32bit                        | package | 1.3-1.1                                | x86_64 | Main Repository (OSS)
i  | libunwind8                                 | package | 1.8.1-2.1                              | x86_64 | Main Repository (OSS)
i  | libunwind8-32bit                           | package | 1.8.1-2.1                              | x86_64 | Main Repository (OSS)
i  | libupnp17                                  | package | 1.14.20-1.1                            | x86_64 | Main Repository (OSS)
i  | libupower-glib3                            | package | 1.90.6-1.1                             | x86_64 | Main Repository (OSS)
i  | liburcu8                                   | package | 0.14.0-1.5                             | x86_64 | Main Repository (OSS)
i  | liburing2                                  | package | 2.6-3.1                                | x86_64 | Main Repository (OSS)
i  | libUsageEnvironment3                       | package | 2024.08.01-1.1                         | x86_64 | Main Repository (OSS)
i  | libusb-0_1-4                               | package | 0.1.13-38.4                            | x86_64 | Main Repository (OSS)
i  | libusb-1_0-0                               | package | 1.0.27-1.2                             | x86_64 | Main Repository (OSS)
i  | libusb-1_0-0-32bit                         | package | 1.0.27-1.2                             | x86_64 | Main Repository (OSS)
i  | libusbmuxd-2_0-6                           | package | 2.0.2-1.16                             | x86_64 | Main Repository (OSS)
i  | libusbredirhost1                           | package | 0.14.0-1.2                             | x86_64 | Main Repository (OSS)
i  | libusbredirparser1                         | package | 0.14.0-1.2                             | x86_64 | Main Repository (OSS)
i  | libutempter0                               | package | 1.2.1-2.2                              | x86_64 | Main Repository (OSS)
i  | libutf8_range-28_3_0                       | package | 28.3-14.2                              | x86_64 | Main Repository (OSS)
i  | libutf8proc3                               | package | 2.9.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libuuid-devel                              | package | 2.40.2-2.1                             | x86_64 | Main Repository (OSS)
i  | libuuid1                                   | package | 2.40.2-2.1                             | x86_64 | Main Repository (OSS)
i  | libuuid1-32bit                             | package | 2.40.2-2.1                             | x86_64 | Main Repository (OSS)
i  | libuv1                                     | package | 1.48.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libv4l                                     | package | 1.24.1-1.7                             | x86_64 | Main Repository (OSS)
i  | libv4l1-0                                  | package | 1.24.1-1.7                             | x86_64 | Main Repository (OSS)
i  | libv4l2-0                                  | package | 1.24.1-1.7                             | x86_64 | Main Repository (OSS)
i  | libv4l2-0-32bit                            | package | 1.24.1-1.7                             | x86_64 | Main Repository (OSS)
i  | libv4lconvert0                             | package | 1.24.1-1.7                             | x86_64 | Main Repository (OSS)
i  | libv4lconvert0-32bit                       | package | 1.24.1-1.7                             | x86_64 | Main Repository (OSS)
i  | libva-drm2                                 | package | 2.22.0-1.1                             | x86_64 | Main Repository (OSS)
